lsoa11cd,pop_adjusted_beds
E01000294,0.083328715
E01000295,0.150588285
E01000296,0.162305721
E01000297,0.179460906
E01000298,0.126562797
E01000299,0.117294412
E01000300,0.131800065
E01000301,0.12002749
E01000302,0.147674318
E01000303,0.123642655
E01000304,0.17037273
E01000305,0.154071077
E01000306,0.17129065
E01000307,0.155860843
E01000308,0.143284285
E01000309,0.138198589
E01000310,0.124634012
E01000311,0.156699278
E01000312,0.212962172
E01000313,0.160404829
E01000314,0.145730869
E01000315,0.137062265
E01000316,0.114015222
E01000317,0.131619546
E01000318,0.092950329
E01000319,0.144060699
E01000320,0.099752105
E01000321,0.133294175
E01000322,0.101948265
E01000323,0.102511922
E01000324,0.132079563
E01000325,0.083788193
E01000326,0.159250213
E01000327,0.073782217
E01000328,0.082314963
E01000329,0.104080585
E01000330,0.076085957
E01000331,0.111274685
E01000332,0.077948337
E01000333,0.103285486
E01000334,0.103199853
E01000335,0.129211058
E01000336,0.135773309
E01000337,0.160885924
E01000338,0.139958179
E01000339,0.108734117
E01000340,0.10717783
E01000341,0.088301602
E01000342,0.124943882
E01000343,0.111008776
E01000344,0.11182607
E01000345,0.129127969
E01000346,0.109040065
E01000347,0.118227439
E01000348,0.106939607
E01000349,0.07686399
E01000350,0.128739355
E01000351,0.09601767
E01000352,0.10032006
E01000353,0.062309933
E01000354,0.105699001
E01000355,0.065410286
E01000356,0.072376659
E01000357,0.123852828
E01000358,0.07686691
E01000359,0.102220796
E01000360,0.0915389
E01000361,0.126348971
E01000362,0.082369551
E01000363,0.093347094
E01000364,0.100734365
E01000365,0.068976755
E01000366,0.137122254
E01000367,0.10954754
E01000368,0.146040973
E01000369,0.076140395
E01000370,0.06705626
E01000371,0.10167082
E01000372,0.11530353
E01000373,0.28709575
E01000374,0.196469424
E01000375,0.143529271
E01000376,0.13209621
E01000377,0.097271184
E01000378,0.083343341
E01000379,0.118610949
E01000380,0.091094535
E01000381,0.11479421
E01000382,0.102902193
E01000383,0.08137807
E01000384,0.092069942
E01000385,0.135771688
E01000386,0.123345169
E01000387,0.094103216
E01000388,0.08120176
E01000389,0.078838929
E01000390,0.108643612
E01000391,0.125711322
E01000392,0.181199035
E01000393,0.119939662
E01000394,0.079056346
E01000395,0.116404968
E01000396,0.127533848
E01000398,0.117951278
E01000399,0.086447074
E01000400,0.115532455
E01000401,0.095088168
E01000402,0.114629238
E01000403,0.062646199
E01000404,0.258832544
E01000405,0.298173067
E01000406,0.194271842
E01000407,0.064810799
E01000408,0.152547781
E01000409,0.095470227
E01000410,0.130902349
E01000411,0.125544659
E01000412,0.157277756
E01000413,0.13472437
E01000414,0.108373689
E01000415,0.109876931
E01000416,0.139944553
E01000417,0.096251049
E01000418,0.105084305
E01000419,0.08945321
E01000420,0.095298191
E01000421,0.069659204
E01000422,0.238441315
E01000423,0.089641745
E01000424,0.085372181
E01000425,0.06863771
E01000426,0.129068098
E01000427,0.064130057
E01000428,0.067359163
E01000429,0.183539722
E01000430,0.165393076
E01000431,0.18547732
E01000432,0.113490453
E01000433,0.158193589
E01000434,0.136879991
E01000435,0.127934197
E01000436,0.067471668
E01000437,0.130108926
E01000438,0.127734542
E01000439,0.150854418
E01000440,0.087126455
E01000441,0.145361524
E01000442,0.093432051
E01000443,0.147717493
E01000444,0.070591844
E01000445,0.075340458
E01000446,0.126747312
E01000447,0.105544147
E01000448,0.089271219
E01000449,0.072111975
E01000450,0.119023721
E01000451,0.104303085
E01000452,0.148899987
E01000453,0.131528779
E01000454,0.11475357
E01000455,0.104165301
E01000456,0.129873785
E01000457,0.0936661
E01000458,0.072759695
E01000459,0.077824563
E01000460,0.124601946
E01000461,0.095776455
E01000462,0.080081108
E01000463,0.160522742
E01000464,0.160953977
E01000465,0.128781749
E01000466,0.166989416
E01000467,0.106443199
E01000468,0.218403792
E01000469,0.163540016
E01000470,0.225833025
E01000471,0.168137101
E01000472,0.222896106
E01000473,0.121422303
E01000474,0.146206724
E01000475,0.137358126
E01000476,0.126110489
E01000477,0.180436421
E01000478,0.127331634
E01000479,0.11248106
E01000480,0.128687907
E01000481,0.16416894
E01000482,0.08986314
E01000483,0.174325632
E01000484,0.200838027
E01000485,0.156533276
E01000486,0.124906584
E01000487,0.111662609
E01000488,0.184147087
E01000489,0.122202796
E01000490,0.264161761
E01000491,0.164017563
E01000492,0.157521219
E01000493,0.139633772
E01000494,0.131597077
E01000495,0.147977272
E01000497,0.146745833
E01000498,0.178565749
E01000499,0.184368453
E01000501,0.137034218
E01000502,0.155369714
E01000503,0.116463071
E01000504,0.141465576
E01000505,0.162485271
E01000506,0.21645804
E01000507,0.136391429
E01000508,0.120192833
E01000509,0.179478978
E01000510,0.164717013
E01000511,0.151335959
E01000512,0.159936926
E01000513,0.135967529
E01000514,0.187186495
E01000515,0.175593052
E01000516,0.142121845
E01000517,0.132025541
E01000518,0.143228186
E01000519,0.139908823
E01000520,0.109484458
E01000521,0.175933351
E01000522,0.188351141
E01000523,0.184482861
E01000524,0.166010919
E01000525,0.179886509
E01000526,0.124461996
E01000527,0.15319947
E01000528,0.209246032
E01000530,0.138577866
E01000531,0.167083782
E01000532,0.178016721
E01000533,0.201956745
E01000534,0.189024048
E01000535,0.206624227
E01000536,0.094527376
E01000538,0.095208281
E01000539,0.085873015
E01000540,0.092503085
E01000541,0.134192557
E01000543,0.126197842
E01000544,0.269221632
E01000545,0.193261301
E01000546,0.19231696
E01000547,0.250572573
E01000548,0.168394144
E01000549,0.163989938
E01000550,0.136044743
E01000551,0.140902849
E01000552,0.255374551
E01000553,0.164271195
E01000554,0.135741508
E01000555,0.140718513
E01000556,0.2146547
E01000557,0.183384324
E01000558,0.199914971
E01000559,0.187514999
E01000560,0.212841079
E01000561,0.185838442
E01000562,0.092523455
E01000563,0.101388941
E01000564,0.185918031
E01000565,0.114038458
E01000566,0.112724389
E01000567,0.144752227
E01000568,0.175823635
E01000569,0.099857098
E01000570,0.128434596
E01000571,0.117847911
E01000572,0.140426063
E01000573,0.135322604
E01000574,0.156777033
E01000575,0.152830895
E01000576,0.116271349
E01000577,0.149076053
E01000578,0.086464444
E01000579,0.222803554
E01000580,0.130531251
E01000581,0.223491926
E01000582,0.158158577
E01000583,0.164732054
E01000584,0.169881014
E01000585,0.230473664
E01000586,0.19706322
E01000587,0.108184105
E01000588,0.115466341
E01000589,0.11122633
E01000590,0.114392054
E01000591,0.111006443
E01000592,0.122718277
E01000593,0.126352486
E01000594,0.14011142
E01000595,0.230611201
E01000596,0.201599426
E01000599,0.260349336
E01000600,0.107423608
E01000601,0.313586343
E01000602,0.185255184
E01000603,0.202171306
E01000604,0.165582066
E01000605,0.204651268
E01000606,0.149461057
E01000607,0.123624522
E01000608,0.118637125
E01000609,0.122401944
E01000610,0.10378649
E01000611,0.187187807
E01000612,0.152879174
E01000613,0.198589321
E01000615,0.151345757
E01000616,0.160861203
E01000617,0.122366186
E01000618,0.130755896
E01000619,0.124664735
E01000620,0.098100134
E01000621,0.192272316
E01000622,0.268465101
E01000623,0.140784085
E01000624,0.104982183
E01000625,0.119662836
E01000626,0.168654041
E01000627,0.157756807
E01000628,0.166961969
E01000629,0.132743709
E01000630,0.117950226
E01000631,0.102235101
E01000632,0.100257287
E01000633,0.145775469
E01000634,0.12772735
